,country_name,country_code,region,income_level,gdp,edu_exp,literacy_rate,pupil_teacher_ratio,primary_enrollment,secondary_enrollment
145,Norway,NOR,Europe & Central Asia,High income,74809.97,7.52335,,8.86857,99.37405,115.21012
146,Nepal,NPL,South Asia,Lower middle income,875.54364,3.2942536,,23.09923,142.99103,68.92825
147,Nauru,NRU,East Asia & Pacific,High income,7703.4316,6.252603,,,98.24104,
148,New Zealand,NZL,East Asia & Pacific,High income,38639.35,5.70735,,14.49628,98.53814,114.88999
149,Oman,OMN,Middle East & North Africa,High income,18808.309,,93.0,,104.03535,102.17273
150,Pakistan,PAK,South Asia,Lower middle income,1380.4702,2.38609,,46.34065,74.84799,35.17425
151,Panama,PAN,Latin America & Caribbean ,High income,14082.655,3.3667,,21.89367,96.0124,77.0092
152,Peru,PER,Latin America & Caribbean ,Upper middle income,6231.7114,3.96933,94.0,17.9767,99.69332,99.59427
153,Philippines,PHL,East Asia & Pacific,Lower middle income,2909.8582,2.830523,98.0,30.26629,108.6644,86.640945
154,Palau,PLW,East Asia & Pacific,High income,15690.759,,97.0,,,
155,Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2484.5964,1.666,,,,
156,Poland,POL,Europe & Central Asia,High income,12637.522,4.81701,,,,109.41479
157,Puerto Rico,PRI,Latin America & Caribbean ,High income,29763.488,,,13.89943,103.24725,99.7226
158,"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,Low income,,,,20.53463,,95.95696
159,Portugal,PRT,Europe & Central Asia,High income,19215.781,4.88554,,13.30619,107.0116,116.87174
160,Paraguay,PRY,Latin America & Caribbean ,Upper middle income,5879.338,3.3337781,96.0,,98.234184,
161,West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,3272.1543,4.66322,96.0,23.99819,95.43193,86.92709
162,French Polynesia,PYF,East Asia & Pacific,High income,19166.959,,,,,
163,Qatar,QAT,Middle East & North Africa,High income,68985.3,,,11.62677,101.98237,101.94683
164,Romania,ROU,Europe & Central Asia,High income,8977.018,3.10695,,18.90704,89.05341,91.33771
165,Russian Federation,RUS,Europe & Central Asia,High income,9277.714,3.83403,,20.14375,98.38278,96.32926
166,Rwanda,RWA,Sub-Saharan Africa ,Low income,733.9986,3.64712,,58.34317,137.2432,39.4099
167,Saudi Arabia,SAU,Middle East & North Africa,High income,22453.572,,,10.89539,102.69215,103.27601
168,Sudan,SDN,Sub-Saharan Africa ,Low income,1292.3796,,,,76.19315,47.60297
169,Senegal,SEN,Sub-Saharan Africa ,Lower middle income,1218.0061,5.45638,43.59273,32.09004,84.87369,51.28273
170,Singapore,SGP,East Asia & Pacific,High income,55645.605,2.8630934,97.0,,101.672035,107.78135
171,Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2045.4789,,,25.73093,111.437065,
172,Sierra Leone,SLE,Sub-Saharan Africa ,Low income,945.1482,,,33.75042,116.402054,38.51056
173,El Salvador,SLV,Latin America & Caribbean ,Upper middle income,3790.3408,3.90988,88.0,29.69441,104.58033,70.69819
174,San Marino,SMR,Europe & Central Asia,High income,43146.824,3.1191428,,,94.76163,96.68158
175,Somalia,SOM,Sub-Saharan Africa ,Low income,445.58307,,,,,
176,Serbia,SRB,Europe & Central Asia,Upper middle income,5820.322,,,15.24293,102.18219,97.15955
177,South Sudan,SSD,Sub-Saharan Africa ,Low income,1080.1472,1.46556,,46.75029,71.69853,11.23095
178,Sao Tome and Principe,STP,Sub-Saharan Africa ,Lower middle income,1298.1095,4.69795,,38.77644,107.26395,82.37638
179,Suriname,SUR,Latin America & Caribbean ,Upper middle income,8813.617,5.534796,,13.33105,108.63051,73.01001
180,Slovak Republic,SVK,Europe & Central Asia,High income,16442.076,4.57843,,15.24933,98.31211,91.89573
181,Slovenia,SVN,Europe & Central Asia,High income,20697.275,4.90953,,16.90462,98.38159,109.65522
182,Sweden,SWE,Europe & Central Asia,High income,51197.953,7.4439,,12.09754,119.62419,137.46297
183,Eswatini,SWZ,Sub-Saharan Africa ,Lower middle income,3393.5337,5.354947,,27.58272,125.18033,79.51607
184,Sint Maarten (Dutch part),SXM,Latin America & Caribbean ,High income,37839.63,,,,,
185,Seychelles,SYC,Sub-Saharan Africa ,High income,15333.105,4.91461,,13.72171,119.94119,92.09117
186,Syrian Arab Republic,SYR,Middle East & North Africa,Low income,847.7316,,,,,
187,Turks and Caicos Islands,TCA,Latin America & Caribbean ,High income,25736.102,2.985262,,,93.666306,80.49473
188,Chad,TCD,Sub-Saharan Africa ,Low income,747.58844,2.3428316,26.00299,55.54179,91.56592,23.02866
189,Togo,TGO,Sub-Saharan Africa ,Low income,751.0524,3.71098,64.0,44.20973,128.25159,
190,Thailand,THA,East Asia & Pacific,Upper middle income,5688.8535,3.8639762,93.0,16.88246,105.30585,126.03599
191,Tajikistan,TJK,Europe & Central Asia,Lower middle income,956.9163,4.96774,,22.28986,91.26617,
192,Turkmenistan,TKM,Europe & Central Asia,Upper middle income,5759.498,,,,,
193,Timor-Leste,TLS,East Asia & Pacific,Lower middle income,1319.593,6.292498,,,126.81859,73.057846
194,Tonga,TON,East Asia & Pacific,Upper middle income,4123.9033,,,21.63312,117.360054,103.26122
195,Trinidad and Tobago,TTO,Latin America & Caribbean ,High income,20024.754,4.4533935,,,,
196,Tunisia,TUN,Middle East & North Africa,Lower middle income,4014.9478,6.22045,,15.79669,106.11183,86.76495
197,Turkiye,TUR,Europe & Central Asia,Upper middle income,11049.995,4.3055,96.0,18.40513,107.29418,107.24319
198,Tuvalu,TUV,East Asia & Pacific,Upper middle income,3357.8342,,,12.71795,113.15589,88.83529
199,Tanzania,TZA,Sub-Saharan Africa ,Lower middle income,939.1273,4.1948657,78.0,,83.42219,27.23949
200,Uganda,UGA,Sub-Saharan Africa ,Low income,862.93463,2.32152,,42.9168,103.62459,
201,Ukraine,UKR,Europe & Central Asia,Upper middle income,2094.4739,5.7425685,,12.38447,87.85099,90.5029
202,Uruguay,URY,Latin America & Caribbean ,High income,17125.902,4.20637,99.0,11.76053,109.24047,108.0433
203,United States,USA,North America,High income,57040.207,4.93063,,14.45723,100.29991,97.65255
204,Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2803.1902,5.4945335,100.0,19.03192,96.84696,92.24281
205,St. Vincent and the Grenadines,VCT,Latin America & Caribbean ,Upper middle income,7353.7354,4.9561524,,14.89632,115.01119,118.1077
206,"Venezuela, RB",VEN,Latin America & Caribbean ,Not classified,,,97.0,,99.73752,89.09152
207,British Virgin Islands,VGB,Latin America & Caribbean ,High income,,4.7045,,11.74126,109.95416,99.1683
208,Virgin Islands (U.S.),VIR,Latin America & Caribbean ,High income,34007.35,,,,,
209,Viet Nam,VNM,East Asia & Pacific,Lower middle income,2577.5688,3.4166045,,19.2242,106.82076,88.19828
210,Vanuatu,VUT,East Asia & Pacific,Lower middle income,2746.5918,5.60338,,26.56507,112.68093,53.39009
211,Samoa,WSM,East Asia & Pacific,Lower middle income,4084.3608,4.61519,,,105.46126,84.0876
212,Kosovo,XKX,Europe & Central Asia,Upper middle income,3520.6284,,,,,
213,"Yemen, Rep.",YEM,Middle East & North Africa,Low income,1362.1738,,,,,
214,South Africa,ZAF,Sub-Saharan Africa ,Upper middle income,6112.274,5.48285,94.0,30.3322,111.67825,110.16893
215,Zambia,ZMB,Sub-Saharan Africa ,Lower middle income,1295.8779,4.62433,,42.74181,103.85216,
216,Zimbabwe,ZWE,Sub-Saharan Africa ,Lower middle income,1386.4229,,,,101.52105,
